Wednesday October 15,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,3256.6,,,100
10:00,186,,,,,,,,,,,,
11:00,236,,,,,,,,,,,,
12:00,262,,,,,,,,,,,,
13:00,276,,,,,,,,,,,,
14:00,295,,,,,,,,,,,,
15:00,274,,,,,,,,,,,,
16:00,193,,,,,,,,,,,,
17:00,74,,,,,,,,,,,,
,,,,,,,,,,,,,
Tuesday October 28,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
8:00,89,,,,,,,,,,,,
9:00,278,,,,,,,,,,,,
10:00,444,,,,,,,,,,,,
11:00,565,,,,,,,,,,,,
12:00,628,,,,,,,,,,,,
13:00,630,,,,,,,,,,,,
14:00,569,,,,,,,,,,,,
15:00,450,,,,,,,,,,,,
16:00,284,,,,,,,,,,,,
17:00,96,,,,,,,,,,,,
,,,,,,,,,,,,,
Wednesday October 29,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
8:00,85,,,,,,,,,,,,
9:00,270,,,,,,,,,,,,
10:00,431,,,,,,,,,,,,
11:00,543,,,,,,,,,,,,
12:00,597,,,,,,,,,,,,
13:00,589,,,,,,,,,,,,
14:00,527,,,,,,,,,,,,
15:00,412,,,,,,,,,,,,
16:00,259,,,,,,,,,,,,
17:00,85,,,,,,,,,,,,
